_id,Version_UID,accessories_package,city_id,city_name,cow_cess,engine_protect,ex_showroom_price,extended_warranty,fastag,five_year_extended_warranty,four_year_extended_warranty,four_year_rsa,genuine_accessories,hypothecation_charges,insurance,mcd,model_id,one_year_extended_warranty,one_year_rsa,paint_protection,registeration_charges,road_safety_tax_cess,rsa,rti,rto,rto_bh_series,rto_corporate,second_year_extended_warranty,shield_of_trust,state,tax_collected_at_source_tcs,three_m_protection,three_year_extended_warranty,two_year_rsa,brand,model_name,version_name
6434e9cdaf924b64c96cc540,224,,149,Sirmaur,,,836900,,500,,,,,1500,43960,,26,,,,,,,,33107,,66952,,,HIMACHAL PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc554,224,,78,Supaul,,,836900,,500,,,,,1500,43960,,26,,,,,,,,91690,,66952,,,BIHAR,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc556,224,,98,Surguja,,,836900,,500,,,,,1500,43960,,26,,,,,,,,91690,66952,83690,,,CHATTISGARH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc559,224,,380,Tarn Taran,,,836900,,500,,,,,1500,43960,,26,,,,,,,,66388,66952,58388,,,PUNJAB,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc55e,224,,434,Theni,,,836900,,500,,,,,1500,43960,,26,,,,,1500,,,91690,66952,83690,,,TAMIL NADU,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc563,224,,45,Tinsukia,,,836900,,500,,,,,1500,43960,,26,,,,,,,,58214,,66952,,,ASSAM,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc56b,224,,438,Tuticorin,,,836900,,500,,,,,1500,43960,,26,,,,,1500,,,91690,66952,83690,,,TAMIL NADU,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc575,224,,23,Upper Subansiri,,,836900,,500,,,,,1500,43960,,26,,,,,,,,91690,,66952,,,ARUNACHAL PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc577,224,17500,123,Vadodara,,,836900,,500,,5280,,,1500,51340,,26,,,,,,1360,,43526,66952,100428,,,GUJARAT,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc583,224,,298,Washim,,,836900,,500,,,,,1500,43960,,26,,,,,2001,,,100059,66952,167380,,,MAHARASHTRA,,,,,Hyundai,Aura,SX Plus AMT
